ID,degre
METRROTT0000002269814483,2
METRROTT0000002269778145,2
METRROTT0000002269751121,2
METRROTT0000002269777141,2
METRROTT0000002269758422,2
METRROTT0000002269760059,2
METRROTT0000002269755453,2
METRROTT0000002269767118,2
METRROTT0000002269754021,2
METRROTT0000002269766752,2
METRROTT0000002269760016,2
METRROTT0000002269760792,2
METRROTT0000002269748995,2
METRROTT0000002269749337,2
METRROTT0000002269763747,2
METRROTT0000002269750075,2
METRROTT0000002269750682,2
METRROTT0000002269751020,2
METRROTT0000002269751116,3
METRROTT0000002269751204,2
METRROTT0000002269752028,2
METRROTT0000002269752109,2
METRROTT0000002269753476,2
METRROTT0000002269755417,2
METRROTT0000002269755516,2
METRROTT0000002269755488,2
METRROTT0000002269756477,6
METRROTT0000002269757076,4
METRROTT0000002269757408,2
METRROTT0000002269757435,2
METRROTT0000002269757854,2
METRROTT0000002269758376,2
METRROTT0000002269758320,2
METRROTT0000002269757957,3
METRROTT0000002269759990,3
METRROTT0000002269758618,2
METRROTT0000002269760308,2
METRROTT0000002269761045,2
METRROTT0000002269761719,4
METRROTT0000002269762808,2
METRROTT0000002269762329,2
METRROTT0000002269763231,2
METRROTT0000002269762974,4
METRROTT0000002269763725,3
METRROTT0000002269763741,2
METRROTT0000002269764240,2
METRROTT0000002269763799,2
METRROTT0000002269763832,2
METRROTT0000002269763791,2
METRROTT0000002269763972,2
METRROTT0000002269764444,3
METRROTT0000002269764658,2
METRROTT0000002269764560,2
METRROTT0000002269764449,2
METRROTT0000002269764106,2
METRROTT0000002269767171,2
METRROTT0000002269766956,2
METRROTT0000002269781912,2
METRROTT0000002269770980,5
METRROTT0000002269772134,2
METRROTT0000002269771954,2
METRROTT0000002269773900,2
METRROTT0000002269773561,2
METRROTT0000002269773642,2
METRROTT0000002269776181,3
METRROTT0000002269775976,2
METRROTT0000002269782741,2
METRROTT0000002269778141,2
METRROTT0000002269778448,3
METRROTT0000002269778475,2
METRROTT0000002269782382,2
METRROTT0000002269778757,2
METRROTT0000002269779440,4
METRROTT0000002269780983,2
METRROTT0000002269780992,2
METRROTT0000002269781566,2
METRROTT0000002269783871,2
METRROTT0000002269783765,2
METRROTT0000002269783951,2
METRROTT0000002269814172,2
METRROTT0000002269745661,2
METRROTT0000002269749924,2
METRROTT0000002269749682,2
METRROTT0000002269749976,2
METRROTT0000002269750303,2
METRROTT0000002269750652,2
METRROTT0000002269750905,2
METRROTT0000002269751472,2
METRROTT0000002269752077,2
METRROTT0000002269752386,2
METRROTT0000002269755936,3
METRROTT0000002269756179,2
METRROTT0000002269756386,2
METRROTT0000002269756493,2
METRROTT0000002269758929,2
METRROTT0000002269758522,2
METRROTT0000002269759730,2
METRROTT0000002269762919,2
METRROTT0000002269763794,2
METRROTT0000002269764875,3
METRROTT0000002269765713,2
METRROTT0000002269766150,2
METRROTT0000002269767701,2
METRROTT0000002269768771,2
METRROTT0000002269766536,2
METRROTT0000002269770546,2
METRROTT0000002269771189,2
METRROTT0000002269774730,2
METRROTT0000002269775937,2
METRROTT0000002269776723,3
METRROTT0000002269779633,2
METRROTT0000002269779996,2
METRROTT0000002269781329,2
METRROTT0000002269781543,2
METRROTT0000002269781829,2
METRROTT0000002269782341,2
METRROTT0000002269783410,2
METRROTT0000002269783838,2
METRROTT0000002269783580,2
METRROTT0000002269777691,2
METRROTT0000002269687932,2
METRROTT0000002269750337,2
METRROTT0000002269764720,2
METRROTT0000002269752513,2
METRROTT0000002269736053,2
METRROTT0000002269749408,2
METRROTT0000002269744639,2
METRROTT0000002269751695,2
METRROTT0000002269751764,2
METRROTT0000002269751849,2
METRROTT0000002269745825,2
METRROTT0000002269746551,2
METRROTT0000002269752116,2
METRROTT0000002269752117,2
METRROTT0000002269750607,2
METRROTT0000002269753722,2
METRROTT0000002269751130,2
METRROTT0000002269754506,2
METRROTT0000002269748873,2
METRROTT0000002269748997,2
METRROTT0000002269749074,2
METRROTT0000002269749078,4
METRROTT0000002269749237,2
METRROTT0000002269749038,3
METRROTT0000002269749062,2
METRROTT0000002269749112,2
METRROTT0000002269749157,2
METRROTT0000002269749148,2
METRROTT0000002269763718,2
METRROTT0000002269749280,2
METRROTT0000002269749313,2
METRROTT0000002269749377,2
METRROTT0000002269750759,2
METRROTT0000002269749461,2
METRROTT0000002269749561,2
METRROTT0000002269749699,2
METRROTT0000002269749761,2
METRROTT0000002269749938,3
METRROTT0000002269749991,2
METRROTT0000002269750093,2
METRROTT0000002269750143,2
METRROTT0000002269750185,2
METRROTT0000002269750190,2
METRROTT0000002269750209,2
METRROTT0000002269750272,3
METRROTT0000002269750277,2
METRROTT0000002269750281,2
METRROTT0000002269750375,2
METRROTT0000002269750388,2
METRROTT0000002269750439,2
METRROTT0000002269750447,3
METRROTT0000002269750456,2
METRROTT0000002269750481,2
METRROTT0000002269750659,3
METRROTT0000002269750962,2
METRROTT0000002269750711,2
METRROTT0000002269750724,3
METRROTT0000002269750730,2
METRROTT0000002269755260,2
METRROTT0000002269750731,2
METRROTT0000002269751760,2
METRROTT0000002269750923,2
METRROTT0000002269750902,2
METRROTT0000002269750914,2
METRROTT0000002269764791,2
METRROTT0000002269750909,2
METRROTT0000002269750958,2
METRROTT0000002269750968,2
METRROTT0000002269751006,2
METRROTT0000002269751173,2
METRROTT0000002269751012,2
METRROTT0000002269751072,2
METRROTT0000002269751097,4
METRROTT0000002269751110,2
METRROTT0000002269751229,3
METRROTT0000002269751139,2
METRROTT0000002269751155,3
METRROTT0000002269751160,2
METRROTT0000002269751193,2
METRROTT0000002269751300,2
METRROTT0000002269751499,2
METRROTT0000002269751395,2
METRROTT0000002269751436,2
METRROTT0000002269751455,2
METRROTT0000002269751498,2
METRROTT0000002269751505,3
METRROTT0000002269751501,4
METRROTT0000002269751545,2
METRROTT0000002269751619,2
METRROTT0000002269751593,3
METRROTT0000002269751602,2
METRROTT0000002269752283,2
METRROTT0000002269751733,2
METRROTT0000002269751796,2
METRROTT0000002269751780,2
METRROTT0000002269751789,2
METRROTT0000002269751791,2
METRROTT0000002269751826,2
METRROTT0000002269751830,4
METRROTT0000002269751863,2
METRROTT0000002269751867,2
METRROTT0000002269751871,2
METRROTT0000002269752263,2
METRROTT0000002269751893,2
METRROTT0000002269751942,4
METRROTT0000002269751923,3
METRROTT0000002269751957,2
METRROTT0000002269751976,2
METRROTT0000002269752011,2
METRROTT0000002269752167,2
METRROTT0000002269752175,2
METRROTT0000002269752191,3
METRROTT0000002269752230,2
METRROTT0000002269752264,2
METRROTT0000002269752326,3
METRROTT0000002269752410,2
METRROTT0000002269752319,3
METRROTT0000002269752336,3
METRROTT0000002269752364,2
METRROTT0000002269752388,2
METRROTT0000002269752505,2
METRROTT0000002269769968,2
METRROTT0000002269752426,2
METRROTT0000002269752431,2
METRROTT0000002269752522,2
METRROTT0000002269752439,2
METRROTT0000002269752466,2
METRROTT0000002269752476,2
METRROTT0000002269752532,2
METRROTT0000002269752567,2
METRROTT0000002269752603,2
METRROTT0000002269752621,2
METRROTT0000002269752650,4
METRROTT0000002269752661,2
METRROTT0000002269752683,2
METRROTT0000002269752762,2
METRROTT0000002269756754,2
METRROTT0000002269752790,2
METRROTT0000002269753695,2
METRROTT0000002269752853,2
METRROTT0000002269752865,2
METRROTT0000002269753014,2
METRROTT0000002269753086,2
METRROTT0000002269753168,2
METRROTT0000002269753166,2
METRROTT0000002269753179,2
METRROTT0000002269753322,2
METRROTT0000002269753392,3
METRROTT0000002269753386,2
METRROTT0000002269753418,4
METRROTT0000002269753420,4
METRROTT0000002269753778,3
METRROTT0000002269753855,5
METRROTT0000002269753858,2
METRROTT0000002269753930,2
METRROTT0000002269754092,2
METRROTT0000002269767053,2
METRROTT0000002269754203,2
METRROTT0000002269754269,2
METRROTT0000002269754261,2
METRROTT0000002269755296,2
METRROTT0000002269754474,2
METRROTT0000002269754471,2
METRROTT0000002269754683,3
METRROTT0000002269754724,2
METRROTT0000002269754823,2
METRROTT0000002269754791,2
METRROTT0000002269755801,2
METRROTT0000002269754883,2
METRROTT0000002269755130,2
METRROTT0000002269755134,2
METRROTT0000002269755335,2
METRROTT0000002269755069,2
METRROTT0000002269755190,2
METRROTT0000002269755209,2
METRROTT0000002269755364,2
METRROTT0000002269755506,4
