ID,x,y
feature-fid,x,y
METRROTT0000002269781566,-1.7658440266594218,15.611570074852247
METRROTT0000002269783871,26.396954836710872,21.000341788278895
METRROTT0000002269783871,26.20603964432237,20.788265089401477
METRROTT0000002269783765,26.20603964432237,20.788265089401477
METRROTT0000002269783765,26.13367032903666,20.718194510877954
METRROTT0000002269762919,-11.470426042107329,-14.903833366016348
METRROTT0000002269762919,-11.475047197110609,-14.769985987295815
METRROTT0000002269763794,-30.22608150480953,-13.167653454846608
METRROTT0000002269763794,-30.23007641949646,-13.38030054010451
METRROTT0000002269764875,-8.956177751083954,-12.268811318939248
METRROTT0000002269764875,-9.093862867426903,-12.218158509371397
METRROTT0000002269764875,-9.359669426511706,-11.985844284711332
METRROTT0000002269765713,-29.95987351815005,-10.735678859094868
METRROTT0000002269765713,-29.959574439592437,-10.716099488448156
