ID,degre
METRROTT0000002269765681,2
METRROTT0000002269765708,2
METRROTT0000002269765709,2
METRROTT0000002269765727,2
METRROTT0000002269765733,2
METRROTT0000002269765783,2
METRROTT0000002269765784,2
METRROTT0000002269766032,2
METRROTT0000002269765827,2
METRROTT0000002269765829,2
METRROTT0000002269765838,2
METRROTT0000002269765906,2
METRROTT0000002269765907,2
METRROTT0000002269765952,2
METRROTT0000002269766151,2
METRROTT0000002269766109,2
METRROTT0000002269766119,2
METRROTT0000002269766248,2
METRROTT0000002269766249,2
METRROTT0000002269766170,2
METRROTT0000002269766171,3
METRROTT0000002269766185,2
METRROTT0000002269766239,2
METRROTT0000002269766226,2
METRROTT0000002269766269,2
METRROTT0000002269766265,2
METRROTT0000002269766270,3
METRROTT0000002269766295,2
METRROTT0000002269766296,2
METRROTT0000002269766411,2
METRROTT0000002269766506,2
METRROTT0000002269766446,2
METRROTT0000002269766580,2
METRROTT0000002269766565,2
METRROTT0000002269766574,2
METRROTT0000002269766606,2
METRROTT0000002269766656,2
METRROTT0000002269766672,2
METRROTT0000002269766762,2
METRROTT0000002269766790,2
METRROTT0000002269767046,2
METRROTT0000002269767069,3
METRROTT0000002269767091,2
METRROTT0000002269767155,2
METRROTT0000002269767169,3
METRROTT0000002269767156,2
METRROTT0000002269767178,2
METRROTT0000002269767197,2
METRROTT0000002269767235,2
METRROTT0000002269767325,2
METRROTT0000002269767257,2
METRROTT0000002269767287,2
METRROTT0000002269767289,2
METRROTT0000002269767269,2
METRROTT0000002269767374,2
METRROTT0000002269767355,2
METRROTT0000002269767600,2
METRROTT0000002269767835,2
METRROTT0000002269767843,2
METRROTT0000002269767974,2
METRROTT0000002269768012,2
METRROTT0000002269768054,2
METRROTT0000002269768069,2
METRROTT0000002269768131,6
METRROTT0000002269768132,3
METRROTT0000002269768148,2
METRROTT0000002269768185,2
METRROTT0000002269768214,2
METRROTT0000002269768197,2
METRROTT0000002269768571,2
METRROTT0000002269768660,2
METRROTT0000002269768742,2
METRROTT0000002269768892,2
METRROTT0000002269768852,2
METRROTT0000002269768909,2
METRROTT0000002269768927,2
METRROTT0000002269768941,2
METRROTT0000002269768997,3
METRROTT0000002269769147,2
METRROTT0000002269769156,2
METRROTT0000002269769223,2
METRROTT0000002269769219,2
METRROTT0000002269769429,2
METRROTT0000002269769529,2
METRROTT0000002269773358,2
METRROTT0000002269775713,2
METRROTT0000002269770101,2
METRROTT0000002269770223,2
METRROTT0000002269770244,2
METRROTT0000002269770348,2
METRROTT0000002269770389,2
METRROTT0000002269770751,2
METRROTT0000002269770749,2
METRROTT0000002269770789,2
METRROTT0000002269770957,2
METRROTT0000002269771057,3
METRROTT0000002269771150,2
METRROTT0000002269771421,2
METRROTT0000002269771461,2
METRROTT0000002269771530,2
METRROTT0000002269772647,2
METRROTT0000002269772373,2
METRROTT0000002269772377,3
METRROTT0000002269772471,3
METRROTT0000002269772478,2
METRROTT0000002269772597,2
METRROTT0000002269772651,2
METRROTT0000002269772847,2
METRROTT0000002269772866,2
METRROTT0000002269772861,2
METRROTT0000002269783240,2
METRROTT0000002269772958,2
METRROTT0000002269773151,2
METRROTT0000002269773235,2
METRROTT0000002269773291,2
METRROTT0000002269773273,2
METRROTT0000002269773284,2
METRROTT0000002269773292,2
METRROTT0000002269773313,2
METRROTT0000002269773573,2
METRROTT0000002269773368,2
METRROTT0000002269773501,2
METRROTT0000002269773566,4
METRROTT0000002269773597,2
METRROTT0000002269773620,2
METRROTT0000002269773636,3
METRROTT0000002269773661,2
METRROTT0000002269773654,2
METRROTT0000002269773641,3
METRROTT0000002269773720,4
METRROTT0000002269773721,2
METRROTT0000002269773719,2
METRROTT0000002269773733,2
METRROTT0000002269773745,2
METRROTT0000002269773817,2
METRROTT0000002269773841,2
METRROTT0000002269773842,6
METRROTT0000002269773888,6
METRROTT0000002269773934,2
METRROTT0000002269773964,2
METRROTT0000002269774001,2
METRROTT0000002269774009,2
METRROTT0000002269774000,2
METRROTT0000002269774109,3
METRROTT0000002269774196,2
METRROTT0000002269774245,2
METRROTT0000002269774260,4
METRROTT0000002269774264,2
METRROTT0000002269774424,2
METRROTT0000002269774479,2
METRROTT0000002269774477,3
METRROTT0000002269774552,2
METRROTT0000002269774577,2
METRROTT0000002269774581,3
METRROTT0000002269774608,3
METRROTT0000002269774622,2
METRROTT0000002269774625,7
METRROTT0000002269774667,2
METRROTT0000002269776769,2
METRROTT0000002269774756,2
METRROTT0000002269774819,2
METRROTT0000002269774862,2
METRROTT0000002269774848,2
METRROTT0000002269774889,3
METRROTT0000002269774900,2
METRROTT0000002269774931,2
METRROTT0000002269774965,5
METRROTT0000002269775024,2
METRROTT0000002269775039,2
METRROTT0000002269775054,2
METRROTT0000002269775055,2
METRROTT0000002269775064,2
METRROTT0000002269775068,2
METRROTT0000002269775070,2
METRROTT0000002269775072,4
METRROTT0000002269775073,2
METRROTT0000002269775082,4
METRROTT0000002269775095,2
METRROTT0000002269775074,2
METRROTT0000002269775120,3
METRROTT0000002269775122,3
METRROTT0000002269775246,3
METRROTT0000002269775514,2
METRROTT0000002269775193,2
METRROTT0000002269775211,5
METRROTT0000002269775255,2
METRROTT0000002269775577,2
METRROTT0000002269775337,2
METRROTT0000002269775343,2
METRROTT0000002269775517,2
METRROTT0000002269775354,2
METRROTT0000002269775376,2
METRROTT0000002269775393,2
METRROTT0000002269776954,2
METRROTT0000002269776955,2
METRROTT0000002269775575,2
METRROTT0000002269775580,3
METRROTT0000002269775589,2
METRROTT0000002269775665,2
METRROTT0000002269775645,2
METRROTT0000002269775652,2
METRROTT0000002269775654,2
METRROTT0000002269775663,3
METRROTT0000002269775675,2
METRROTT0000002269775684,2
