ID,nbrs-sommets,Turtle-ID1,degre,x1,y1,Turtle-ID2,degre,x2,y2,Turtle-ID3,degre,x3,y3,Turtle-ID4,degre,x4,y4,Turtle-ID5,degre,x5,y5,Turtle-ID6,degre,x6,y6,Turtle-ID7,degre,x7,y7,Turtle-ID8,degre,x8,y8,Turtle-ID9,degre,x9,y9,Turtle-ID10,degre,x10,y10
METRROTT0000002269762808,2,4233,3,3.2178487805618277,-7.699587761929886,4476,2,3.2384046370781263,-7.720752647577168
METRROTT0000002269762329,2,515,3,-5.005959628186576,-8.04257916428568,863,3,-5.248372396500334,-8.040274555955675
METRROTT0000002269763799,2,1273,3,-2.7764621803922647,-6.785211361092076,2824,3,-2.6457979618603864,-6.813377227193591
METRROTT0000002269763791,2,1901,3,-3.8412982011090584,-6.782595143770794,1018,2,-3.888695733248681,-7.038467584788458
METRROTT0000002269764106,2,2034,2,-0.14099251135511914,-6.651525518749907,2816,3,0.20716852405396216,-6.602023131850141
METRROTT0000002269766956,2,3193,4,-3.4390635663015816,-4.651579018555528,3874,3,-3.4250176458188917,-4.91487322000733
METRROTT0000002269781912,2,2561,2,11.410438857035938,8.739334898235116,384,2,11.408871173545672,8.736587125682655
METRROTT0000002269772134,2,1009,2,11.741583657304407,-0.7917643363232598,4443,2,10.69871353795815,-1.5665467375512854
METRROTT0000002269771954,2,1448,2,-8.350111131522953,-0.7897119600951803,769,3,-8.301352431969496,-0.8077891783071458
METRROTT0000002269773561,2,4905,2,2.884916409321631,0.8776771824054559,3289,4,2.8696022641165437,0.26501122892585127
METRROTT0000002269773642,2,2334,2,2.879813699296205,0.9611212889162245,4905,2,2.884916409321631,0.8776771824054559
METRROTT0000002269776181,3,4261,2,1.5024219681955526,3.6619161733542565,4904,2,1.398257712321628,3.3825043557375287,4275,2,1.3706269870395953,3.179486423994806
METRROTT0000002269775976,2,3056,2,4.16429629860087,3.4526123708880743,1053,3,3.9521447174610085,3.385128418631436
METRROTT0000002269782741,2,2421,4,11.988166086166144,9.435674950586403,4901,2,11.724237011786258,9.122910347205305
METRROTT0000002269778141,2,4903,2,-12.077086726498615,5.495884602762743,104,3,-11.683897731914893,5.345482978857167
METRROTT0000002269778448,3,3616,2,-8.137502281583824,5.713733221432073,4902,2,-8.133618493393062,5.573411291434237,1577,3,-8.320899308772939,5.125922336850954
METRROTT0000002269778475,2,4900,2,-12.647532026006195,5.767854057869525,2396,2,-12.470000240104016,5.639927655305396
METRROTT0000002269782382,2,4901,2,11.724237011786258,9.122910347205305,4437,2,11.509287035630937,8.872123533710885
METRROTT0000002269778757,2,4468,2,-12.815241307808419,6.015001054223625,4900,2,-12.647532026006195,5.767854057869525
METRROTT0000002269779440,4,4462,2,-8.669776957039343,6.501324868284439,4899,2,-8.604681643197857,6.359392781728593,4898,2,-8.255225954181805,5.918789809962426,2333,2,-8.14439807373366,5.734778500020664
METRROTT0000002269780983,2,4897,2,-0.9051122659960639,7.911034263601948,4441,2,-0.9696986367910287,7.797526895697017
METRROTT0000002269780992,2,4896,2,-0.8965054289193987,7.92587403800191,4897,2,-0.9051122659960639,7.911034263601948
METRROTT0000002269781566,2,4457,2,-0.5941423336553993,8.490822594370185,4896,2,-0.8965054289193987,7.92587403800191
METRROTT0000002269783871,2,4895,1,13.401530917099366,10.661711984818515,4894,2,13.304604742502125,10.554042276157672
METRROTT0000002269783765,2,4894,2,13.304604742502125,10.554042276157672,906,3,13.267863397818612,10.51846798244573
METRROTT0000002269762919,2,1151,3,-5.823447067531413,-7.566561555054454,2980,3,-5.825793192379232,-7.49860827047326
METRROTT0000002269763794,2,4436,3,-15.345549071672531,-6.685116369383662,4886,2,-15.34757725912897,-6.793075658822289
METRROTT0000002269764875,3,4848,2,-4.5469825505503145,-6.228781131153771,4893,2,-4.616884225001351,-6.203065089373171,4840,2,-4.751832170382866,-6.085120944545753
METRROTT0000002269765713,2,4818,2,-15.210397324599256,-5.450421574617394,4814,2,-15.210245484716161,-5.440481278750602
METRROTT0000002269766150,2,4800,3,-15.070053793656355,-5.145575608337629,4807,2,-15.078355104337843,-5.166496300766161
METRROTT0000002269767701,2,4780,2,-5.1312212746435115,-4.172333828321254,3865,4,-5.215576049170839,-4.242600168606255
METRROTT0000002269770546,2,4766,2,-10.223133705029335,-2.0062127244480235,4767,2,-10.43372503728551,-2.1768053178191975
METRROTT0000002269771189,2,758,2,-9.903633598345795,-1.4579062392396083,2141,3,-10.270221704407923,-1.8075459442605455
METRROTT0000002269775937,2,4484,2,1.5193339048201167,3.3684883849572254,4672,2,1.7838238974627818,3.428082891172163
METRROTT0000002269776723,3,4205,2,-6.1476348946419765,4.105976359162574,4892,2,-6.288362509995381,4.2247928753517225,4642,2,-6.5189762705804535,4.190259315408298
METRROTT0000002269781329,2,3338,2,5.904421020864872,8.230339728155398,2735,2,5.865403344244116,8.032392760217846
METRROTT0000002269781543,2,4183,2,6.086302405446067,8.418759731475141,4891,1,6.11931714137275,8.414053976476517
METRROTT0000002269781829,2,4514,3,-10.030532374128446,8.848584684152325,4521,2,-10.360205225801083,8.709343103641471
METRROTT0000002269782341,2,4506,2,-9.930818007610714,9.266980804922877,740,2,-9.887710573185032,9.274911499180156
METRROTT0000002269783580,2,4054,2,3.0517849675956854,10.451348136820872,4176,2,3.060361978030199,10.44078004974621
METRROTT0000002269777691,2,4384,2,-9.920792984142723,5.054051346851976,4590,2,-9.847105177457925,4.950714011796968
